City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Mehrān,0,IR,1600977165,28,33.12,46.16,68.0,2.24
Busselton,91,AU,1600977168,54,-33.65,115.33,55.0,18.05
Bulgan,100,MN,1600977172,77,48.81,103.53,48.22,2.73
Bethel,1,US,1600977175,47,41.37,-73.41,75.99,8.05
Mar del Plata,90,AR,1600977178,93,-38.0,-57.56,48.2,10.29
Isangel,4,VU,1600977182,79,-19.55,169.27,75.56,13.56
Tuktoyaktuk,90,CA,1600977108,100,69.45,-133.04,35.6,24.16
Kirakira,100,SB,1600977188,82,-10.45,161.92,80.11,7.87
Meulaboh,100,ID,1600977192,89,4.14,96.13,76.41,4.03
Rikitea,21,PF,1600977195,80,-23.12,-134.97,72.5,10.51
Nālūt,0,LY,1600977198,21,30.33,10.85,84.61,7.0
Riohacha,75,CO,1600977188,74,11.54,-72.91,87.8,6.93
Pacific Grove,1,US,1600976977,77,36.62,-121.92,75.99,5.82
Ati,0,TD,1600977208,45,13.22,18.34,88.97,5.97
Anadyr,75,RU,1600977211,81,64.75,177.48,32.0,13.42
Avarua,100,CK,1600976970,100,-21.21,-159.78,73.4,1.12
Souillac,40,MU,1600977218,77,-20.52,57.52,68.0,4.7
Punta Arenas,83,CL,1600977221,53,-53.15,-70.92,50.0,54.13
Mataura,59,NZ,1600977225,95,-46.19,168.86,46.99,1.01
East London,73,ZA,1600977228,62,-33.02,27.91,71.15,5.08
Inuvik,90,CA,1600977231,93,68.35,-133.72,37.4,8.05
San Patricio,40,MX,1600977235,75,19.22,-104.7,89.6,6.44
Nikolskoye,75,RU,1600977238,76,59.7,30.79,57.99,2.24
Puerto Escondido,75,MX,1600977241,62,15.85,-97.07,87.8,12.75
Bandarbeyla,37,SO,1600977245,79,9.49,50.81,76.87,19.13
Hilo,90,US,1600977190,74,19.73,-155.09,80.6,6.93
Castro,0,BR,1600977228,41,-24.79,-50.01,74.23,5.57
Al Bardīyah,0,LY,1600977254,65,31.76,25.09,76.96,4.05
Hermanus,41,ZA,1600977258,91,-34.42,19.23,54.0,10.0
